no,name,api,source_name,db_no,RFZ,HCOs
1,에비드넷,https://api.feedernet.co.kr/atlas/v2.7.6/58/91/0/#,HIRA2017,6,0,0
2,단국대,https://api.feedernet.co.kr/atlas/v2.7.6/70/104/0/#,DKUH_5.3.0_01,1,0,1
3,명지,https://api.feedernet.co.kr/atlas/v2.7.6/68/102/0/#,MJH_5.3.0_01,1,0,1
4,고려안암,https://api.feedernet.co.kr/atlas/v2.7.6/66/100/0/#,KUMC_ANAM_5.3.0_01,1,0,1
5,강북삼성,https://api.feedernet.co.kr/atlas/v2.7.6/64/98/0/#,KBSMC_5.3.0_01,1,0,1
6,건국대,https://api.feedernet.co.kr/atlas/v2.7.6/62/96/0/#,KUH_5.3.0_01,1,0,1
7,가천길대,https://api.feedernet.co.kr/atlas/v2.7.6/60/94/0/#,GILMC_5.3.0_01,1,0,1
8,전북대,https://api.feedernet.co.kr/atlas/v2.7.6/57/89/0/#,NA,NA,0,0
9,강동성심,https://api.feedernet.co.kr/atlas/v2.7.6/56/85/0/#,KDH_5.3.0_03,2,1,1
10,부산대,https://api.feedernet.co.kr/atlas/v2.7.6/55/84/0/#,PNUH_5.3.0_02,2,1,1
11,강원대,https://api.feedernet.co.kr/atlas/v2.7.6/54/83/0/#,KWMC_5.3.0_02,2,1,1
12,일산건보,https://api.feedernet.co.kr/atlas/v2.7.6/53/82/0/#,NHIMC_5.3.0_02,2,0,1
13,이대목동,https://api.feedernet.co.kr/atlas/v2.7.6/52/81/0/#,EUMC_5.3.0_01,1,0,1
14,강동경희,https://api.feedernet.co.kr/atlas/v2.7.6/51/80/0/#,KHNMC_5.3.0_02,2,1,1
15,동국일산,https://api.feedernet.co.kr/atlas/v2.7.6/50/79/0/#,DUMC_5.3.0_01,1,0,1
16,인하대,https://api.feedernet.co.kr/atlas/v2.7.6/49/78/0/#,INHA_5.3.0_01,1,0,1
17,경북대칠곡,https://api.feedernet.co.kr/atlas/v2.7.6/48/77/0/#,KBNUH_CG_5.3.0_02,2,0,1
18,경북대,https://api.feedernet.co.kr/atlas/v2.7.6/48/77/0/#,KBNUH_5.3.0_02,1,0,1
19,경희의료원,https://api.feedernet.co.kr/atlas/v2.7.6/47/76/0/#,KHMC_5.3.0_02,2,0,1
20,한양대,https://api.feedernet.co.kr/atlas/v2.7.6/46/75/0/#,HYUMC_5.3.0_02,2,0,1
21,원광대,https://api.feedernet.co.kr/atlas/v2.7.6/45/74/0/#,WKUH_5.3.0_02,2,1,1
22,대구카톨릭,https://api.feedernet.co.kr/atlas/v2.7.6/44/73/0/#,DCMC_5.3.0_01,1,1,1
23,분당차,https://api.feedernet.co.kr/atlas/v2.7.6/43/72/0/#,CHAMC_5.3.0_01,1,0,1
24,메디세종,https://api.feedernet.co.kr/atlas/v2.7.6/42/71/0/#,SEJONGM_5.3.0_01,1,1,1
25,세종,https://api.feedernet.co.kr/atlas/v2.7.6/41/70/0/#,SEJONGB_5.3.0_01,1,1,1
26,전남대,https://api.feedernet.co.kr/atlas/v2.7.6/40/69/0/#,CNUH_5.3.0_01,1,0,1
27,화순전남,https://api.feedernet.co.kr/atlas/v2.7.6/39/68/0/#,CNUHH_5.3.0_01,1,0,1
28,원주세브란스,https://api.feedernet.co.kr/atlas/v2.7.6/38/67/0/#,YWMC_5.3.0_01,1,0,1
29,순천향구미,https://api.feedernet.co.kr/atlas/v2.7.6/37/66/0/#,SCHGM_5.3.0_01,1,0,1
30,순천향부천,https://api.feedernet.co.kr/atlas/v2.7.6/36/65/0/#,SCHBC_5.3.0_01,1,0,1
31,순천향천안,https://api.feedernet.co.kr/atlas/v2.7.6/35/64/0/#,SCHCA_5.3.0_01,1,0,1
32,순천향서울,https://api.feedernet.co.kr/atlas/v2.7.6/34/63/0/#,SCHSU_5.3.0_01,1,0,1
33,아주대,https://api.feedernet.co.kr/atlas/v2.7.6/24/32/0/#,AUMC_5.3.0_03,2,1,1
